2024-06-26,23,0,3
2024-06-27,22.8,4.7,3
2024-06-28,23.6,0,1
2024-06-29,22,0,1
2024-06-30,24.1,0,2
2024-07-01,24.7,0,1
2024-07-02,21.9,3.2,3
2024-07-03,15.7,20,3
2024-07-04,15.7,5.2,2
2024-07-05,17.8,0,1
2024-07-06,20.5,0,2
2024-07-07,23.6,0,1
2024-07-08,24.7,0,2
2024-07-09,25.5,2,3
2024-07-10,24.9,0,2
2024-07-11,25.7,0.2,2
2024-07-12,26.1,0,3
2024-07-13,26.8,0,2
2024-07-14,27,0,1
2024-07-15,27.8,0,3
2024-07-16,27.3,0,3
2024-07-17,25.7,1.9,3
2024-07-18,25.1,1,3
2024-07-19,25.2,0.3,2
2024-07-20,23.3,7.7,2
2024-07-21,21.4,5.9,1
2024-07-22,20.5,1.9,1
2024-07-23,22.1,0,3
2024-07-24,20.2,4.8,3
2024-07-25,18.9,1.1,1
2024-07-26,17.3,1.1,1
2024-07-27,20.1,0,1
2024-07-28,22.9,0,2
2024-07-29,21.3,0,1
2024-07-30,18,0,3
2024-07-31,18.4,0,2
2024-08-01,20.3,0,2
2024-08-02,22.6,0,2
2024-08-03,21.2,6,1
2024-08-04,17.6,3,3
2024-08-05,19.6,1.5,1
2024-08-06,17.2,18,1
2024-08-07,18.6,0,3
2024-08-08,21.1,0,3
2024-08-09,18.2,2.1,3
2024-08-10,19.2,0.6,2
2024-08-11,21.2,0,2
2024-08-12,22.8,0,1
2024-08-13,22.6,0,2
2024-08-14,25.5,0.2,1
2024-08-15,25.6,0,5
2024-08-16,24.7,1.8,6
2024-08-17,22,0.3,3
2024-08-18,22.4,0,4
2024-08-19,24.8,0,6
2024-08-20,24,0,6
2024-08-21,23.1,0,3
2024-08-22,20.5,0,3
2024-08-23,20.7,0,6
2024-08-24,20.8,0,4
2024-08-25,23.3,0,4
2024-08-26,23.1,0.2,6
2024-08-27,19.8,,3
2024-08-28,20.3,,6
2024-08-29,19.8,,6
2024-08-30,18.9,,6
2024-08-31,20.7,,6
2024-09-01,20.4,,4
2024-09-02,20.5,,3
2024-09-03,21.1,,4
2024-09-04,20.9,,3
2024-09-05,18.8,0,6
2024-09-06,18.3,0,5
2024-09-07,20.4,0,3
2024-09-08,17.6,0,6
2024-09-09,18.8,0,3
2024-09-10,18.1,1.4,3
2024-09-11,15.1,3.1,6
2024-09-12,17,2.1,4
2024-09-13,17.5,3.7,3
2024-09-14,13.1,15.9,5
2024-09-15,13.5,0,6
2024-09-16,13.5,0.4,5
2024-09-17,13.5,1.7,4
2024-09-18,15,1.6,3
2024-09-19,11.3,0,5
2024-09-20,13,0,5
2024-09-21,12.1,0,9
2024-09-22,14.5,0,3
2024-09-23,15.3,0,4
2024-09-24,17.2,0,4
2024-09-25,18.7,0.5,3
2024-09-26,18,0.7,4
2024-09-27,18.1,0,3
2024-09-28,19.5,0,4
2024-09-29,12.8,19.7,6
2024-09-30,7.4,16.5,7
2024-10-01,7.2,0.6,6
2024-10-02,8.8,0,6
2024-10-03,14.5,0,5
2024-10-04,16.8,0,4
2024-10-05,15.8,5.6,5
2024-10-06,13,0,5
2024-10-07,10.9,1.3,5
2024-10-08,10.8,0,5
2024-10-09,14.1,0,3
2024-10-10,15,0,8
2024-10-11,13.6,5.5,9
2024-10-12,12.6,6.9,9
2024-10-13,10.9,0,9
2024-10-14,9.4,0,5
2024-10-15,7.5,0.2,3
2024-10-16,8.8,0,4
2024-10-17,6.7,0,4
2024-10-18,5.7,0,3
2024-10-19,5.3,0,6
2024-10-20,5.4,0,6
2024-10-21,6.4,0,3
2024-10-22,7.5,0,3
2024-10-23,6.8,0,3
2024-10-24,7.9,0,5
2024-10-25,7.8,0,4
2024-10-26,8.1,0,4
2024-10-27,9.1,0,5
2024-10-28,10.4,0,5
2024-10-29,10.2,0,4
2024-10-30,10.5,0,4
2024-10-31,8.6,0,3
2024-11-01,9.7,1.2,6
2024-11-02,6.4,0.4,5
2024-11-03,6.2,0,3
2024-11-04,0,0,3
2024-11-05,1.5,0,3
2024-11-06,2.5,0,3
2024-11-07,4.2,0,5
2024-11-08,4.1,0,4
2024-11-09,2.6,0,3
2024-11-10,2.1,0,5
2024-11-11,1.9,0,4
2024-11-12,1.3,1.6,5
2024-11-13,2.7,0,6
2024-11-14,2.1,0,3
2024-11-15,0.9,0,0
2024-11-16,1.2,0,0
2024-11-17,1.7,0,0
2024-11-18,-0.2,0,0
2024-11-19,2.8,0,2
2024-11-20,5.1,2,0
2024-11-21,-1.3,14.1,0
2024-11-22,1,9.7,2
2024-11-23,-0.8,2.3,1
2024-11-24,-1.6,0,2
2024-11-25,1.8,0,0
2024-11-26,3.4,0,1
2024-11-27,4,0,1
2024-11-28,3.4,0,0
2024-11-29,3.3,10.7,2
2024-11-30,4.3,0.2,2
2024-12-01,2.2,0,1
2024-12-02,-0.2,0,0
2024-12-03,0,0,1
2024-12-04,-0.8,0,1
2024-12-05,0.3,0,1
2024-12-06,2.7,2,1
2024-12-07,2,6.7,2
2024-12-08,2,5.9,1
2024-12-09,5.1,7.1,2
2024-12-10,3.5,,0
2024-12-11,1.9,,0
2024-12-12,-0.6,,1
2024-12-13,-0.3,,1
2024-12-14,-1.8,0.2,0
2024-12-15,-0.3,2.1,0
2024-12-16,0.6,0,1
2024-12-17,3.5,0.2,1
2024-12-18,3.9,0,1
2024-12-19,0.8,0,1
2024-12-20,0.5,0,1
2024-12-21,1.9,0.6,1
2024-12-22,0,0,0
2024-12-23,-1.5,0,1
2024-12-24,5.6,0,0
2024-12-25,4.5,1.4,1
2024-12-26,2.5,0,0
2024-12-27,1,0.7,1
2024-12-28,1.7,0,0
2024-12-29,-1.7,0,1
2024-12-30,-1.9,0,0
2024-12-31,-2.2,0,0
